date,fgp,tgp,cp,n,fgp_a,tgp_a,cp_a,new_n,used_n
2012-02-01,229781.68,492860.51,5624932.67,258,890.6266666666667,1910.3120542635659,21802.0646124031,156,101
2012-03-01,239786.06,494675.25,6076650.69,273,878.3372161172161,1811.9972527472528,22258.79373626374,183,90
2012-04-01,222531.26,443695,5804839.37,247,900.9362753036438,1796.336032388664,23501.373967611336,162,85
2012-05-01,268043.44,527938.18,7082588.93,297,902.503164983165,1777.5696296296298,23847.100774410774,215,82
2012-06-01,228147.66,471667.17,5994809.16,276,826.6219565217391,1708.9390217391303,21720.32304347826,167,107
2012-07-01,218351.71,454034.45,5793554.83,237,921.3152320675105,1915.7571729957806,24445.379029535867,158,73
2012-08-01,254570.86,490888.72000000003,6515189.21,280,909.1816428571428,1753.1740000000002,23268.532892857143,197,83
2012-09-01,262020.47,496573.83,7318345.99,301,870.4999003322259,1649.7469435215946,24313.441827242525,194,107
2012-10-01,245055.82,441842.43,6633821.35,261,938.9111877394637,1692.8828735632183,25416.940038314176,155,104
2012-11-01,241718.52,417607.82,5944296.68,255,947.9157647058823,1637.677725490196,23310.967372549017,141,112
2012-12-01,262869.85,482089.23,6822577.39,271,969.9994464944649,1778.9270479704796,25175.562324723247,168,102
2013-01-01,226077.91,400802.15,4893740.23,212,1066.4052358490567,1890.5761792452831,23083.680330188683,116,96
2013-02-01,225536.35,439944.93,5743431.2,247,913.1026315789474,1781.1535627530363,23252.757894736842,159,88
2013-03-01,255762.19,478713.32,6413841.77,271,943.7719188191882,1766.469815498155,23667.312804428042,170,101
2013-04-01,225153.82,441936.61,6068325.7,251,897.027171314741,1760.703625498008,24176.59641434263,157,94
2013-05-01,270990.65,569689.71,7363455.2,300,903.3021666666667,1898.9657,24544.85066666667,207,93
2013-06-01,157713.49,367749.87,5977752.96,258,611.2925968992248,1425.3870930232558,23169.58511627907,163,95
2013-07-01,329384.78,570551.58,7307255.68,322,1022.934099378882,1771.8993167701863,22693.34062111801,191,131
2013-08-01,252389.42,569684.51,7755744.48,344,733.6901744186047,1656.0596220930233,22545.768837209303,217,127
2013-09-01,239056.6,486606.46,7360771.78,313,763.7591054313099,1554.6532268370609,23516.842747603834,197,116
2013-10-01,267948.32,527120.65,7075415.06,295,908.2993898305085,1786.8496610169493,23984.457830508472,180,112
2013-11-01,254044.26,481603.15,6661727.28,281,904.0720996441281,1713.8902135231317,23707.214519572954,167,114
2013-12-01,280162.34,595197.15,8441992.42,331,846.4119033232629,1798.1787009063444,25504.508821752264,215,115
2014-01-01,291493.49,551358.97,5960769.7,281,1037.343380782918,1962.131565836299,21212.703558718862,137,144
2014-02-01,301933.29,565724.21,6539712.86,286,1055.710804195804,1978.0566783216782,22866.128881118882,149,137
2014-03-01,384059.9,756726.11,9249390.62,388,989.8451030927836,1950.3250257731959,23838.6356185567,232,156
2014-04-01,340795.08,641001.83,8021234.5,342,996.4768421052632,1874.2743567251462,23453.902046783627,199,143
2014-05-01,356987.1,699945.62,9034134.14,386,924.8370466321243,1813.330621761658,23404.492590673577,235,151
2014-06-01,338888.86,650336.77,8017612.25,345,982.2865507246377,1885.034115942029,23239.45579710145,202,143
2014-07-01,391515.2,705348,8419564.37,362,1081.5337016574586,1948.475138121547,23258.465110497236,224,138
2014-08-01,333318.08,658500.86,8105480.02,361,923.3187811634349,1824.102105263158,22452.85324099723,204,157
2014-09-01,280412.49,566734.42,7973941,335,837.0522089552238,1691.744537313433,23802.80895522388,201,133
2014-10-01,255182.75,552374.76,6419397.04,273,934.735347985348,2023.3507692307692,23514.27487179487,134,139
2014-11-01,351817.88,661403.71,7712142.08,327,1075.8956574923548,2022.6413149847094,23584.532354740062,177,150
2014-12-01,385496.85,718867.99,7839091.47,317,1216.0783911671924,2267.722365930599,24728.995173501575,173,143
2015-01-01,322430.73,605583.9,5916547.46,250,1289.72292,2422.3356,23666.18984,137,112
2015-02-01,318138.34,610091.11,6758235.16,291,1093.2589003436426,2096.533024054983,23224.17580756014,138,150
2015-03-01,388504.53,773962.31,8451452.02,362,1073.2169337016576,2138.017430939227,23346.552541436464,195,166
2015-04-01,369059.73,710728.85,7913103.65,317,1164.2262776025236,2242.0468454258676,24962.47208201893,183,129
2015-05-01,361949.54,748933.07,8561984.89,352,1028.2657386363635,2127.6507670454544,24323.820710227275,186,165
2015-06-01,308915.77,687690.5599999999,9296821.22,354,872.6434180790961,1942.6287005649715,26262.206836158195,206,147
2015-07-01,375648.9,775138.21,10169161.64,380,988.5497368421053,2039.837394736842,26760.95168421053,216,162
2015-08-01,424089.71,876617.26,10009808.8,400,1060.224275,2191.54315,25024.522,238,161
2015-09-01,325248.57,711393.13,9231042.8,358,908.5155586592178,1987.1316480446928,25785.035754189947,190,168
2015-10-01,304394.07,635426.7,7393292.61,295,1031.8443050847459,2153.988813559322,25062.00884745763,162,132
2015-11-01,342591.58,718462.3,9258499.82,344,995.9057558139535,2088.5531976744187,26914.243662790697,213,130
2015-12-01,352514.15,720079.95,9742004.43,356,990.208286516854,2022.6964887640447,27365.180983146067,214,142
2016-01-01,329247.81,713924.65,8503502.33,352,935.3630965909091,2028.195028409091,24157.677073863637,184,166
2016-02-01,314968.48,698653.14,8125141.54,330,954.4499393939393,2117.130727272727,24621.64103030303,179,151
2016-03-01,319509.63,685990.71,8326126.47,323,989.1939009287926,2123.8102476780186,25777.481331269348,166,155
2016-04-01,341295.79,775271.19,9663587.4,369,924.9208401084011,2101.0059349593494,26188.5837398374,208,161
2016-05-01,352791.33,816097.83,9704272.29,392,899.9778826530612,2081.882219387755,24755.796658163265,216,176
2016-06-01,313132.59,675411.41,8633601.02,329,951.7707902735563,2052.922218844985,26241.94838905775,196,133
2016-07-01,357170.91,789647.48,10898016.68,420,850.4069285714285,1880.1130476190476,25947.65876190476,262,158
2016-08-01,323974.41,725855.35,9523789.08,359,902.4356824512535,2021.8811977715877,26528.660389972145,220,139
2016-09-01,331872.59,670977.34,9902284.22,368,901.8276902173914,1823.3079891304346,26908.381032608697,228,139
2016-10-01,299977.93,680393.7,10001876.38,367,817.3785558583106,1853.93378746594,27253.069155313355,237,130
2016-11-01,211903.03,613544.22,9532134.88,350,605.4372285714286,1752.9834857142857,27234.67108571429,224,126
2016-12-01,314588.55,766119.72,11692149.05,414,759.8757246376812,1850.530724637681,28241.9059178744,255,159
2017-01-01,271277.9,628201.82,8852651.69,339,800.2297935103245,1853.1027138643067,26114.016784660766,205,134
2017-02-01,199659.41,571856.38,9195971.43,347,575.38734870317,1648.0010951008646,26501.35858789625,219,128
2017-03-01,283254.58,733244.05,11112015.1,403,702.8649627791564,1819.4641439205957,27573.23846153846,256,147
2017-04-01,314275.35,706007.53,10449754.16,363,865.7723140495867,1944.9243250688705,28787.201542699724,237,126
2017-05-01,334573.23,763726.25,10809294.23,416,804.2625721153846,1835.8804086538462,25983.880360576924,262,154
2017-06-01,188555.69,549202.69,8793645.43,327,576.6229051987767,1679.5189296636083,26891.882048929663,187,139
2017-07-01,356510.24,827176.29,9970000.74,380,938.1848421052631,2176.7797105263157,26236.84405263158,222,158
2017-08-01,272036.48,611504.11,9036263.76,361,753.5636565096952,1693.9172022160665,25031.201551246537,202,158
2017-09-01,266435.57,662950.3,10740594.04,398,669.4361055276382,1665.7042713567841,26986.417185929648,260,137
2017-10-01,292409.37,638794.28,8843725.57,330,886.0889999999999,1935.7402424242425,26799.168393939395,191,138
2017-11-01,272759.76,754497.91,11441109.92,413,660.4352542372882,1826.8714527845036,27702.445326876514,265,148
2017-12-01,399404.13,901062.76,13311455.97,466,857.0904077253219,1933.6110729613733,28565.356158798284,292,173
2018-01-01,245687.5,576494.58,8770067.31,326,753.6426380368098,1768.3882822085889,26902.046963190187,193,133
2018-02-01,263891.46,618413.38,8950078.33,338,780.7439644970415,1829.6253846153845,26479.521686390533,187,150
2018-03-01,318713.02,787685.71,11301238.74,417,764.2998081534772,1888.934556354916,27101.291942446045,219,198
2018-04-01,176761.74,588584.61,10172310.29,373,473.8920643431635,1577.9748257372653,27271.609356568362,230,143
2018-05-01,266354.7,708878.05,9765702.81,351,758.8452991452991,2019.5955840455842,27822.51512820513,216,135
2018-06-01,291437.18,688395.4,8146529.59,298,977.9771140939597,2310.0516778523493,27337.347617449665,165,133
2018-07-01,318839.97000000003,802285.2,9344352.95,342,932.2806140350878,2345.8631578947366,27322.669444444444,181,161
2018-08-01,320580.6,830517.83,10748445.52,390,822.0015384615384,2129.532897435897,27560.116717948717,219,171
