feature,n
TM_v_lag12,0.28320755424997235
LEA_lag0,0.3135037921101292
LEA_lag3,-0.024630166130851325
LEA_lag6,-0.12022291352467011
LEA_lag9,-0.18173203312777053
LEA_lag12,-0.21428006792525206
LEA_v_lag0,-0.24026968762978185
LEA_v_lag3,-0.1618349528697073
LEA_v_lag6,0.07451401554111733
LEA_v_lag9,-0.05319357142368531
LEA_v_lag12,0.15487263386079117
BWA_lag0,0.43431904293772855
BWA_lag3,-0.03681086289592079
BWA_lag6,-0.23579366180688455
BWA_lag9,-0.1313883426362832
BWA_lag12,-0.22035992378818756
BWA_v_lag0,-0.18959067677066704
BWA_v_lag3,0.1725883939571123
BWA_v_lag6,0.20766086103439796
BWA_v_lag9,0.09730610750784363
BWA_v_lag12,0.1870385356119726
VC_lag0,0.3518844376422625
VC_lag3,0.089620261539372
VC_lag6,-0.15461171539625423
VC_lag9,-0.11148231012193112
VC_lag12,-0.1201763599693232
VC_v_lag0,-0.22583659108910437
VC_v_lag3,0.19771202008511402
VC_v_lag6,-0.10516939564219807
VC_v_lag9,-0.21503314945001162
VC_v_lag12,-0.1112337298557849
GT_lag0,0.19815733698887317
GT_lag3,-0.12266080372005836
GT_lag6,-0.2751311610282465
GT_lag9,-0.0866846403893543
GT_lag12,-0.146387805891728
GT_v_lag0,-0.15100843088019703
GT_v_lag3,0.20890813183934995
GT_v_lag6,-0.011398900975944664
GT_v_lag9,0.14617980677480252
GT_v_lag12,0.389823520179761
NIO_lag0,0.1546048679697142
NIO_lag3,0.11646657755571228
NIO_lag6,0.07274270714740409
NIO_lag9,-0.09266367887177648
NIO_lag12,-0.1512712127873293
NIO_v_lag0,0.3071533119512889
NIO_v_lag3,-0.043931772307471556
NIO_v_lag6,0.2073282082988506
NIO_v_lag9,0.10966631912185539
NIO_v_lag12,-0.17112492131598492
HMC_lag0,0.35667085063864185
HMC_lag3,-0.1475347940755615
HMC_lag6,-0.19976084586286663
HMC_lag9,-0.04966004764426557
HMC_lag12,-0.13587261214398919
HMC_v_lag0,-0.18945453512432456
HMC_v_lag3,0.22633579594871683
HMC_v_lag6,-0.1851859835492545
HMC_v_lag9,0.05245852296466592
HMC_v_lag12,0.5448006064436599
RACE_lag0,0.07807859820023458
RACE_lag3,0.05790729614260092
RACE_lag6,0.01561006955184728
RACE_lag9,-0.08651902998104874
RACE_lag12,-0.059677250616153664
RACE_v_lag0,-0.2550084522313127
RACE_v_lag3,0.18204568866366427
RACE_v_lag6,-0.11997241194705031
RACE_v_lag9,-0.03983267151353853
RACE_v_lag12,0.23169137795557998
g_new_cars_lag0,0.3836983035273213
g_new_cars_lag3,-0.1302788927076273
g_new_cars_lag6,-0.1437257710189362
g_new_cars_lag9,0.027082238666879765
g_new_cars_lag12,-7.793358697052702e-4
g_used_cars_lag0,0.5812057303695717
g_used_cars_lag3,-0.125211986158946
g_used_cars_lag6,-0.32242318228910255
g_used_cars_lag9,0.24456898368996607
g_used_cars_lag12,-0.12773747370244287
g_car_for_sale_near_me_lag0,0.4071915873543858
g_car_for_sale_near_me_lag3,0.270891000514263
g_car_for_sale_near_me_lag6,-0.14031009301440897
g_car_for_sale_near_me_lag9,-0.059742345347038
g_car_for_sale_near_me_lag12,0.10727275961587117
g_best_new_cars_lag0,0.17062582816861727
g_best_new_cars_lag3,-0.013749026690702059
g_best_new_cars_lag6,-0.011761123095599334
g_best_new_cars_lag9,0.1859011610201812
