date,n,tgp_a,cp_a,NGF1_lag12,NGF1_lag6,NGF1_lag3,NGF1_lag2,NGF1_lag1,NGF2_lag12,NGF2_lag6,NGF2_lag3,NGF2_lag2,NGF2_lag1,IR1_lag12,IR1_lag6,IR1_lag3,IR1_lag2,IR1_lag1,HPISTB_lag12,HPISTB_lag6,HPISTB_lag3,HPISTB_lag2,HPISTB_lag1,HPIWA_lag12,HPIWA_lag6,HPIWA_lag3,HPIWA_lag2,HPIWA_lag1,FRM15_lag12,FRM15_lag6,FRM15_lag3,FRM15_lag2,FRM15_lag1,FRM30_lag12,FRM30_lag6,FRM30_lag3,FRM30_lag2,FRM30_lag1,ARM5_lag12,ARM5_lag6,ARM5_lag3,ARM5_lag2,ARM5_lag1
2016-11-01,0.6081081081081081,0.16548732211695952,0.5997483787322094,0.18062736987245773,0.19889693209238185,0.40537745604963804,0.41192692175112033,0.4583333333333333,0.044534412955465584,0.6639676113360324,0.20063694267515925,0.18789808917197454,0.21656050955414013,0.18918918918919125,0.20454545454546116,0.37956204379562664,0.39007092198582066,0.340136054421769,0.21377780756024714,0.24704965357558348,0.24080270553073385,0.23972099940324007,0.2357143488414594,0.19759731663274907,0.21839295018720253,0.21160846983310638,0.21001883824263676,0.20694881323496453,0.2929936305732484,0.10828025477707003,0.012738853503184726,0,0.038216560509553896,0.36805555555555564,0.15277777777777787,0.006944444444444603,0,0.0347222222222224,0.21527777777777757,0.11805555555555555,0.03472222222222211,0.07638888888888883,0.09722222222222203
2016-12-01,0.8243243243243243,0.38153659599501827,0.7960722764271898,0.21578765942778358,0.4181316787314719,0.41192692175112033,0.4532919682867976,0.569672131147541,0.3522267206477733,0.05668016194331984,0.18789808917197454,0.21656050955414013,0.03821656050955414,0.2162162162162131,0.28787878787879356,0.4014598540146055,0.3546099290780115,0.32653061224490093,0.23767762236684262,0.2701756199999853,0.2674534675970412,0.26353610522204207,0.2593979272825766,0.21893790503142735,0.23928165251949696,0.2355720244513632,0.23117348359987414,0.22811126235339038,0.3312101910828026,0.038216560509553896,0,0.038216560509553896,0.33757961783439483,0.409722222222222,0.04166666666666669,0,0.0347222222222224,0.4236111111111112,0.2638888888888889,0,0.07638888888888883,0.09722222222222203,0.29166666666666674
2017-01-01,0.5709459459459459,0.17964629500667048,0.38131746934870736,0.2023440193036884,0.4015856601172009,0.4532919682867976,0.5656670113753878,0.6967213114754098,0.16194331983805668,0.08906882591093117,0.21656050955414013,0.03821656050955414,0.5636942675159236,0.25675675675675547,0.3257575757575791,0.3649635036496338,0.34042553191489383,0.29251700680272597,0.260682544812941,0.2924221574084302,0.29126931515125454,0.2874708775788252,0.29062461623289965,0.23977477146014808,0.25933801918725063,0.2568327697148517,0.2526138536082124,0.2549871160743405,0.22292993630573227,0.038216560509553896,0.038216560509553896,0.33757961783439483,0.5286624203821654,0.2569444444444445,0.04166666666666669,0.0347222222222224,0.4236111111111112,0.6250000000000001,0.13888888888888876,0.05555555555555532,0.09722222222222203,0.29166666666666674,0.4166666666666666
2017-02-01,0.597972972972973,0.09721493578612989,0.456815704837951,0,0.40537745604963804,0.5656670113753878,0.6938986556359876,0.48941256830601093,0.08502024291497975,0.2550607287449393,0.03821656050955414,0.5636942675159236,0.08917197452229299,0.16216216216215024,0.3939393939393995,0.35036496350365137,0.3049645390070947,0.32653061224490093,0.2824379658566841,0.318707737764864,0.3152048329705335,0.319028764548494,0.3226737095270446,0.2592526555794529,0.2835290450323091,0.2783806726649841,0.2798426608621627,0.28289078990430144,0.1337579617834395,0.012738853503184726,0.33757961783439483,0.5286624203821654,0.4331210191082801,0.13888888888888898,0.006944444444444603,0.4236111111111112,0.6250000000000001,0.5347222222222224,0.062499999999999924,0.03472222222222211,0.29166666666666674,0.4166666666666666,0.3472222222222223
2017-03-01,0.7871621621621622,0.17896556512933762,0.6657398086667898,0.08548776284039987,0.41192692175112033,0.6938986556359876,0.4846604619096863,0.3722677595628416,0.1659919028340081,0.2388663967611336,0.5636942675159236,0.08917197452229299,0.7866242038216561,0.22972972972973363,0.41666666666667296,0.3138686131386901,0.34042553191489383,0.32653061224490093,0.30163648512429814,0.3448030693536729,0.34676370282906493,0.35141777848673067,0.3541122863987851,0.27673208973968927,0.3072950778962636,0.30574604443458514,0.3081127863168507,0.3091605891930214,0.16560509554140115,0,0.5286624203821654,0.4331210191082801,0.41401273885350315,0.20138888888888887,0,0.6250000000000001,0.5347222222222224,0.513888888888889,0.13888888888888876,0.07638888888888883,0.4166666666666666,0.3472222222222223,0.31944444444444453
2017-04-01,0.652027027027027,0.335976024099579,0.9023578803832593,0.16097897276801099,0.4532919682867976,0.4846604619096863,0.36642537056187524,0.514344262295082,0.26720647773279355,0.27530364372469635,0.08917197452229299,0.7866242038216561,0.03503184713375796,0.39189189189188384,0.3787878787878767,0.35036496350365137,0.34042553191489383,0.32653061224490093,0.3218820758790848,0.3681225690906585,0.37915372554210025,0.3831898007137419,0.3926168322981055,0.2951034711910222,0.3283805795546561,0.3341579570764274,0.3347275799847792,0.3421929737279065,0.10828025477707003,0.038216560509553896,0.4331210191082801,0.41401273885350315,0.4267515923566879,0.16666666666666677,0.0347222222222224,0.5347222222222224,0.513888888888889,0.49999999999999967,0.11111111111111094,0.09722222222222203,0.3472222222222223,0.31944444444444453,0.3333333333333334
2017-05-01,0.831081081081081,0.19447838266298087,0.35595209357686813,0.19889693209238185,0.5656670113753878,0.36642537056187524,0.5098241985522234,0.5433743169398907,0.6639676113360324,0.048582995951417005,0.7866242038216561,0.03503184713375796,0.07643312101910828,0.5270270270270314,0.3636363636363646,0.35036496350365137,0.34042553191489383,0.3673469387755147,0.34581256946938504,0.3915592450359805,0.4109267373273421,0.42210273539094223,0.4274543039900637,0.317488354716635,0.34975087197663246,0.360906235710205,0.36819377015598226,0.37154519671685415,0.10828025477707003,0.33757961783439483,0.41401273885350315,0.4267515923566879,0.35031847133757954,0.15277777777777787,0.4236111111111112,0.513888888888889,0.49999999999999967,0.4236111111111112,0.11805555555555555,0.29166666666666674,0.31944444444444453,0.3333333333333334,0.29166666666666674
2017-06-01,0.5304054054054054,0.17333649726543127,0.5329340891148223,0.4181316787314719,0.6938986556359876,0.5098241985522234,0.5391244398483281,0.4733606557377049,0.05668016194331984,0.7165991902834008,0.03503184713375796,0.07643312101910828,0.1751592356687898,0.6756756756756803,0.3257575757575791,0.35036496350365137,0.3829787234042568,0.3673469387755147,0.3681038315072469,0.4224603941842664,0.4498408839706714,0.4573097019608794,0.45740723123531973,0.3382835275486466,0.3768906822080905,0.39454027363209293,0.39793146818557135,0.39639527210249337,0.038216560509553896,0.5286624203821654,0.4267515923566879,0.35031847133757954,0.29936305732484064,0.04166666666666669,0.6250000000000001,0.49999999999999967,0.4236111111111112,0.36805555555555564,0,0.4166666666666666,0.3333333333333334,0.29166666666666674,0.2569444444444443
2017-07-01,0.7094594594594594,0.4729115887987516,0.40525819024250465,0.4015856601172009,0.4846604619096863,0.5391244398483281,0.468459152016546,0.46140710382513667,0.08906882591093117,0.11336032388663968,0.07643312101910828,0.1751592356687898,0.1305732484076433,0.7432432432432445,0.3636363636363646,0.3941605839416091,0.3829787234042568,0.3537414965986467,0.3895474064786037,0.4541753740697485,0.48504894708219143,0.4875803173924499,0.49161866807137294,0.3582500915124274,0.40506840710452113,0.42442711937462085,0.4231078930890249,0.4254581717056138,0.038216560509553896,0.4331210191082801,0.35031847133757954,0.29936305732484064,0.28662420382165593,0.04166666666666669,0.5347222222222224,0.4236111111111112,0.36805555555555564,0.3194444444444443,0.05555555555555532,0.3472222222222223,0.29166666666666674,0.2569444444444443,0.32638888888888884
2017-08-01,0.6452702702702703,0.06901174276359599,0.17026191376245126,0.40537745604963804,0.36642537056187524,0.468459152016546,0.4563943467769735,0.37909836065573776,0.2550607287449393,1,0.1751592356687898,0.1305732484076433,0.20063694267515925,0.8648648648648716,0.3636363636363646,0.3941605839416091,0.36879432624113917,0.3741496598639536,0.41488423992329276,0.48528620219721974,0.5153205053097991,0.5221546092253008,0.5223271945862101,0.38233280165062067,0.43159621064583126,0.4497298151881694,0.45255246812469735,0.4516495771823066,0.012738853503184726,0.41401273885350315,0.29936305732484064,0.28662420382165593,0.30573248407643316,0.006944444444444603,0.513888888888889,0.36805555555555564,0.3194444444444443,0.34722222222222215,0.03472222222222211,0.31944444444444453,0.2569444444444443,0.32638888888888884,0.3333333333333334
