9efb1c86879381b33c0bfae199a6ef54,3537d7299fa3ac72ee72a1ba1c331e23,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T00:29:44.000Z,2,2022-05-18T00:45:44.000Z,2,47.943,-122.305,47.799,-122.33,EE,1,1,1,2,"","",0,80.55902952054612,173.69731368350048,21482.40787214563,1,530610413012,530610514002,America/Los_Angeles,America/Los_Angeles,60.0,021230030000231031,021230030022003221,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
7ac0b7e7992604d6116efd7a7d79a7c9,3732afbafea603c6932083e425842602,74071a673307ca7459bcf75fbd024e09,1,2022-05-19T03:37:20.000Z,3,2022-05-19T04:13:01.000Z,3,47.916,-122.308,47.81,-122.375,EE,1,1,1,2,"","",3,52.556621431628066,204.8606310098678,31256.590690309917,1,530610420014,530610505005,America/Los_Angeles,America/Los_Angeles,34.53225806451613,021230030002031001,021230021133101020,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
afc88ed9bea217295f22100454be003a,386929ba5773e7f2580422bcb9b6e4cb,74071a673307ca7459bcf75fbd024e09,1,2022-05-17T02:36:37.000Z,1,2022-05-17T02:55:41.000Z,1,47.878,-122.28,47.887,-122.283,EE,1,1,1,2,"","",0,61.10455971048243,246.9831212180124,19417.671196886637,1,530610420043,530610419013,America/Los_Angeles,America/Los_Angeles,47.666666666666664,021230030002323101,021230030002303322,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
3f28aab5508586defa5cfa296dce9771,3d0bdfe5f8941091389d5ce712090169,74071a673307ca7459bcf75fbd024e09,1,2022-05-17T00:16:04.000Z,1,2022-05-17T00:54:58.000Z,1,47.575,-122.14,47.913,-122.263,EE,1,1,1,2,"","",2,86.64658268393777,190.2896660544205,56175.86777341965,1,530330248002,530610419032,America/Los_Angeles,America/Los_Angeles,59.84615384615385,021230030232010100,021230030002131030,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
eaa9214cb0b2aae9011c5024bf0625ba,3d17ed6f1e64021dbfe4ffc79bda9536,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T18:22:47.000Z,3,2022-05-18T18:52:05.000Z,3,47.876,-122.276,47.638,-122.141,EE,1,1,1,2,"","",2,85.22282323511449,243.53081872784367,41617.14534648091,1,530610420043,530330228033,America/Los_Angeles,America/Los_Angeles,83.71428571428571,021230030002332022,021230030212232213,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
35130170387e9f8be403805b1b1c9974,3d2d706e54363f5bfef8241618d3463b,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T13:50:05.000Z,3,2022-05-18T14:17:32.000Z,3,47.592,-122.328,47.887,-122.273,EE,1,1,1,2,"","",3,84.94125540254475,198.7519815962063,38860.624346664226,1,530330093002,530610419012,America/Los_Angeles,America/Los_Angeles,91.5,021230030220203231,021230030002312233,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
b4d494d4c9a6a11412c58ae9a692932c,3dabcc4509b41997e4caf44e3c31f719,74071a673307ca7459bcf75fbd024e09,1,2022-05-19T04:31:13.000Z,3,2022-05-19T05:30:34.000Z,3,47.782,-122.21,47.735,-122.132,EE,1,1,1,2,"","",3,72.47595427686801,249.78920557907733,71690.79810553527,1,530610519184,530330323212,America/Los_Angeles,America/Los_Angeles,31.513274336283185,021230030023300002,021230030210031210,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
e371729ac41510cfb92160c8e428745a,3db4aceb0c639c8f90528fb2c614d74d,74071a673307ca7459bcf75fbd024e09,1,2022-05-19T00:15:38.000Z,3,2022-05-19T01:19:47.000Z,3,47.235,-122.425,47.903,-122.293,EE,1,1,1,2,"","",2,105.1632658611412,248.5090532378286,112437.05841653679,1,530530620004,530610420061,America/Los_Angeles,America/Los_Angeles,32.075,021230023311202322,021230030002122320,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
dfedd30c4b537e23781c7058f2320712,44d0da7025232561749186498b5e15ff,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T00:59:58.000Z,2,2022-05-18T01:38:34.000Z,2,47.605,-122.212,47.885,-122.234,EE,1,1,1,2,"","",3,79.77293260962384,193.06338258087203,51320.586645524665,1,530330239001,530610418081,America/Los_Angeles,America/Los_Angeles,68.11764705882352,021230030221211111,021230030003221113,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
94e1897d267fbbf214056eda2f992ea1,46b390f27883aeb14f6f6bef623a146c,74071a673307ca7459bcf75fbd024e09,1,2022-05-19T01:30:59.000Z,3,2022-05-19T01:57:49.000Z,3,47.827,-122.249,47.874,-122.274,EE,1,1,1,2,"","",3,30.176951845053996,193.1145529848363,13495.803464038037,1,530610519271,530610419013,America/Los_Angeles,America/Los_Angeles,70.0,021230030021220100,021230030002332212,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
fa0af6c44120d5f65f9452d0c9141dd9,46e4e910d0b92b5a4c5e779b09d31c4a,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T06:53:04.000Z,2,2022-05-18T07:31:10.000Z,3,47.512,-122.294,47.917,-122.276,EE,1,1,1,2,"","",3,89.23641415786757,227.77377372512956,56665.1229902459,1,530330263001,530610419011,America/Los_Angeles,America/Los_Angeles,84.66666666666667,021230032000100213,021230030002112221,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
a16cd37cefdb481ee63ce1cc93a1f742,4af1a61fa248a8e2bdbf49dfc121374c,74071a673307ca7459bcf75fbd024e09,1,2022-05-17T18:37:01.000Z,2,2022-05-17T19:21:10.000Z,2,47.665,-122.119,47.953,-122.283,EE,1,1,1,2,"","",3,67.32368934407799,246.64554193653885,49539.01474235072,1,530330323132,530610413041,America/Los_Angeles,America/Los_Angeles,45.67241379310345,021230030212300011,021230030000303011,"{\"method\":\"gps\",\"aid_type\":\"IDFA\"}"
71fb98eeafd1aa3f6eef73ed0d87467e,4b35330e9066aebcdf7ed5d473ca0239,74071a673307ca7459bcf75fbd024e09,1,2022-05-18T04:52:20.000Z,2,2022-05-18T05:28:47.000Z,2,47.564,-122.224,47.933,-122.298,EE,1,1,1,2,"","",3,92.45404671991588,222.3588229365325,56165.8333823489,1,530330245003,530610413011,America/Los_Angeles,America/Los_Angeles,60.75,021230030223012310,021230030000322202,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
f96fde67c1c26f14afc2b5ee1db26c40,4be8ad837df00480d78c27a3c85e1e7f,74071a673307ca7459bcf75fbd024e09,1,2022-05-17T22:02:46.000Z,2,2022-05-17T22:17:08.000Z,2,47.783,-122.316,47.886,-122.278,EE,1,1,1,2,"","",2,53.996219716486564,143.11681265721,12929.094832114282,1,530610511003,530610419013,America/Los_Angeles,America/Los_Angeles,143.66666666666666,021230030022210100,021230030002321111,"{\"method\":\"fused\",\"aid_type\":\"AAID\"}"
